"kappa","alpha_t","Fidelity"
20.,1.47,0.8858307676443183
20.,1.48,0.8855610473896502
20.,1.49,0.8852951232170003
20.,1.5,0.8850329417024669
20.,1.51,0.8847744501737334
20.,1.52,0.8845195966995231
20.,1.53,0.8842683300791976
20.,1.54,0.8840205998324995
20.,1.55,0.883776356189437
20.,1.56,0.8835355500803075
20.,1.57,0.8832981331258611
20.,1.58,0.8830640576275988
20.,1.59,0.8828332765582076
20.,1.6,0.8826057435521273
20.,1.61,0.8823814128962485
20.,1.62,0.8821602395207417
20.,1.6300000000000001,0.8819421789900133
20.,1.6400000000000001,0.8817271874937873
20.,1.6500000000000001,0.881515221838314
20.,1.6600000000000001,0.8813062394376985
20.,1.67,0.8811001983053532
20.,1.68,0.8808970570455682
20.,1.69,0.8806967748452004
20.,1.7,0.8804993114654796
20.,1.71,0.8803046272339281
20.,1.72,0.8801126830363952
20.,1.73,0.879923440309202
20.,1.74,0.8797368610313967
20.,1.75,0.87955290771712
20.,1.76,0.8793715434080759
20.,1.77,0.8791927316661083
20.,1.78,0.8790164365658841
20.,1.79,0.8788426226876754
20.,1.8,0.8786712551102468
20.,1.81,0.8785022994038398
20.,1.82,0.8783357216232579
20.,1.83,0.878171488301047
20.,1.84,0.8780095664407737
20.,1.85,0.8778499235103955
20.,1.86,0.8776925274357272
20.,1.87,0.8775373465939973
20.,1.8800000000000001,0.8773843498074942
20.,1.8900000000000001,0.8772335063373049
20.,1.9000000000000001,0.8770847858771383
20.,1.9100000000000001,0.8769381585472373
20.,1.92,0.8767935948883767
20.,1.93,0.8766510658559435
20.,1.94,0.8765105428141038
20.,1.95,0.8763719975300486
20.,1.96,0.8762354021683216
20.,1.97,0.8761007292852283
20.,1.98,0.8759679518233214
20.,1.99,0.8758370431059652
20.,2.,0.8757079768319764
20.,2.0100000000000002,0.8755807270703395
20.,2.02,0.8754552682549976
20.,2.0300000000000002,0.8753315751797159
20.,2.04,0.8752096229930177
20.,2.05,0.8750893871931915
20.,2.06,0.8749708436233679
20.,2.07,0.874853968466667
20.,2.08,0.8747387382414133
20.,2.09,0.8746251297964177
20.,2.1,0.8745131203063263
20.,2.11,0.8744026872670352
20.,2.12,0.8742938084911674
20.,2.13,0.8741864621036177
20.,2.14,0.874080626537156
20.,2.15,0.8739762805280943
20.,2.16,0.8738734031120153
20.,2.17,0.8737719736195603
20.,2.18,0.8736719716722758
20.,2.19,0.8735733771785203
20.,2.2,0.8734761703294267
20.,2.21,0.8733803315949229
20.,2.22,0.8732858417198082
20.,2.23,0.8731926817198843
20.,2.24,0.8731008328781413
20.,2.25,0.8730102767409974
20.,2.2600000000000002,0.8729209951145912
20.,2.27,0.8728329700611261
20.,2.2800000000000002,0.8727461838952671
20.,2.29,0.8726606191805869
20.,2.3000000000000003,0.8725762587260628
20.,2.31,0.8724930855826232
20.,2.32,0.8724110830397421
20.,2.33,0.8723302346220818
20.,2.34,0.8722505240861826
20.,2.35,0.8721719354171994
20.,2.36,0.8720944528256844
20.,2.37,0.8720180607444146
20.,2.38,0.8719427438252638
20.,2.39,0.8718684869361197
20.,2.4,0.871795275157843
20.,2.41,0.8717230937812706
20.,2.42,0.8716519283042594
20.,2.43,0.8715817644287738
20.,2.44,0.8715125880580121
20.,2.45,0.8714443852935749
20.,2.46,0.8713771424326724
20.,2.47,0.8713108459653716
20.,2.48,0.8712454825718812
20.,2.49,0.8711810391198769
20.,2.5,0.8711175026618618
20.,2.5100000000000002,0.8710548604325652
20.,2.52,0.8709930998463788
20.,2.5300000000000002,0.870932208494827
20.,2.54,0.870872174144074
20.,2.5500000000000003,0.870812984732467
20.,2.56,0.8707546283681113
20.,2.57,0.8706970933264825
20.,2.58,0.8706403680480694
20.,2.59,0.8705844411360535
20.,2.6,0.8705293013540167
20.,2.61,0.8704749376236866
20.,2.62,0.8704213390227082
20.,2.63,0.8703684947824513
20.,2.64,0.8703163942858456
20.,2.65,0.8702650270652488
20.,2.66,0.8702143828003426
20.,2.67,0.8701644513160596
20.,2.68,0.870115222580539
20.,2.69,0.8700666867031113
